Country,Limiting Magnitude,Coordinates,Longitude_x,Latitude_x,Latitude_y,Longitude_y,Park,Date
United States - Arizona,7,"[32.5729, -111.343]",-111.34299999999999,32.5729,32.2967,-111.167,Saguaro National Park,2012-02-20
United States - Arizona,7,"[32.3949, -111.024]",-111.024,32.3949,32.2967,-111.167,Saguaro National Park,2012-02-21
United States - Arizona,7,"[32.2487, -111.039]",-111.039,32.2487,32.2967,-111.167,Saguaro National Park,2012-02-16
United States - Arizona,7,"[32.4185, -110.934]",-110.934,32.4185,32.2967,-111.167,Saguaro National Park,2010-03-05
United States - Arizona,7,"[32.1395, -111.023]",-111.023,32.1395,32.2967,-111.167,Saguaro National Park,2017-01-25
United States - Arizona,7,"[32.2851, -110.826]",-110.82600000000001,32.2851,32.2967,-111.167,Saguaro National Park,2010-03-12
United States - Arizona,7,"[32.0704, -111.364]",-111.36399999999999,32.0704,32.2967,-111.167,Saguaro National Park,2010-03-13
United States - Arizona,7,"[32.2575, -111.071]",-111.071,32.2575,32.2967,-111.167,Saguaro National Park,2010-03-04
United States - Arizona,7,"[32.4668, -110.944]",-110.944,32.4668,32.2967,-111.167,Saguaro National Park,2010-03-09
United States - Arizona,7,"[31.8569, -111.004]",-111.00399999999999,31.8569,32.2967,-111.167,Saguaro National Park,2007-03-12
United States - Arizona,7,"[32.4218, -110.988]",-110.988,32.4218,32.2967,-111.167,Saguaro National Park,2007-03-14
United States - Arizona,7,"[32.3237, -111.234]",-111.234,32.3237,32.2967,-111.167,Saguaro National Park,2009-03-24
United States - Arizona,7,"[32.4316, -110.954]",-110.954,32.4316,32.2967,-111.167,Saguaro National Park,2007-03-20
United States - Arizona,7,"[32.3015, -110.902]",-110.902,32.3015,32.2967,-111.167,Saguaro National Park,2011-03-06
United States - Arizona,7,"[32.2217, -110.926]",-110.926,32.2217,32.2967,-111.167,Saguaro National Park,2013-04-09
United States - Arizona,7,"[32.2655, -110.954]",-110.954,32.2655,32.2967,-111.167,Saguaro National Park,2015-03-14
United States - Arizona,7,"[32.1813, -110.96]",-110.96,32.1813,32.2967,-111.167,Saguaro National Park,2015-04-18
United States - Arizona,7,"[36.058, -112.169]",-112.169,36.058,36.107,-112.113,Grand Canyon National Park,2015-06-13
United States - Arizona,7,"[36.0745, -112.155]",-112.155,36.0745,36.107,-112.113,Grand Canyon National Park,2015-06-15
United States - Arizona,7,"[36.0734, -112.151]",-112.15100000000001,36.0734,36.107,-112.113,Grand Canyon National Park,2015-06-15
United States - Arizona,7,"[36.0386, -111.837]",-111.837,36.0386,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[36.0052, -111.924]",-111.92399999999999,36.0052,36.107,-112.113,Grand Canyon National Park,2015-06-16
