latitude,longitude,date_local,aqi,local_site_name,site_address,state,county,city
32.842318,-116.768293,2019-01-15,38.0,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine
32.466389,-114.768611,2019-01-15,16.0,San Luis Rio Colorado Well 10,Calle 15 & Venustiano Carranza Water Well #10,Country Of Mexico,SONORA,Not in a city
32.690278,-114.61444,2019-01-15,19.0,YUMA SUPERSITE,2323 S ARIZONA AVE,Arizona,Yuma,Yuma
37.950741,-121.268523,2019-01-15,25.0,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton
38.342606,-120.764426,2019-01-15,33.0,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",California,Amador,Jackson
38.20185,-120.680277,2019-01-15,34.0,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas
37.642165,-120.994212,2019-01-15,26.0,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto
38.71209,-121.38109,2019-01-15,31.0,North Highlands-Blackfoot,"7823 BLACKFOOT WAY, NORTH HIGHLANDS",California,Sacramento,Not in a city
38.613779,-121.368014,2019-01-15,30.0,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade
38.56844,-121.49311,2019-01-15,28.0,Sacramento-1309 T Street,"1309 T ST., SACRAMENTO, CA. 95814",California,Sacramento,Sacramento
38.725282,-120.821916,2019-01-15,36.0,Placerville-Gold Nugget Way," 3111 GOLD NUGGET WAY, PLACERVILLE, CA",California,El Dorado,Placerville
38.302591,-121.420838,2019-01-15,33.0,Elk Grove-Bruceville," 12490 BRUCEVILLE RD, ELK GROVE, CA",California,Sacramento,Not in a city
38.683304,-121.164457,2019-01-15,34.0,Folsom-Natoma St.,"50 NATOMA STREET, FOLSOM",California,Sacramento,Folsom
39.233477,-121.055608,2019-01-15,39.0,Grass Valley-Litton Building,"200 LITTON DR.,  GRASS VALLEY, CA",California,Nevada,Grass Valley
38.494475,-121.211131,2019-01-15,31.0,Sloughhouse,"7250 SLOUGHHOUSE ROAD, SLOUGHHOUSE",California,Sacramento,Not in a city
37.98178,-120.378551,2019-01-15,36.0,Sonora-Barretta Street," 251 S BARRETTA, SONORA, CA 95370",California,Tuolumne,Sonora
39.100174,-120.953832,2019-01-15,35.0,Colfax-City Hall,"CITY HALL-33 S MAIN ST, COLFAX",California,Placer,Colfax
38.74643,-121.26498,2019-01-15,31.0,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville
37.281853,-120.433671,2019-01-15,27.0,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340",California,Merced,Not in a city
39.525083,-119.807717,2019-01-15,19.0,Reno3,"301 A STATE STREET, RENO, NV 89502",Nevada,Washoe,Reno
39.540917,-119.746761,2019-01-15,16.0,Sparks,"750 4TH ST, SPARKS, NV 89431",Nevada,Washoe,Sparks
39.645264,-119.840025,2019-01-15,31.0,Lemmon Valley,"325 PATRICIAN DR, LEMMON VALLEY, NV 89506",Nevada,Washoe,Lemmon Valley-Golden Valley
37.682635,-121.442495,2019-01-15,26.0,Tracy-Airport,"5749 S. TRACY BLVD., TRACY",California,San Joaquin,Tracy
37.488317,-120.836008,2019-01-15,28.0,Turlock," 900 S MINARET STREET, TURLOCK, CA",California,Stanislaus,Turlock
39.602787,-119.247741,2019-01-15,30.0,Fernley,320 HARDIE LANE,Nevada,Lyon,Fernley
38.93568,-121.09959,2019-01-15,33.0,Auburn-Atwood,"11645 Atwood Street, Auburn",California,Placer,Auburn
39.166017,-120.148833,2019-01-15,39.0,Tahoe City-Fairway Drive,"221 Fairway Drive, Tahoe City, CA 96145",California,Placer,Tahoe City
38.867937,-121.338353,2019-01-15,33.0,Lincoln-2885 Moore Road,"2885 MOORE ROAD, LINCOLN, CA 95648",California,Placer,Lincoln
39.621434,-119.71877,2019-01-15,19.0,Spanish Springs,"7200 Pyramid Hwy, Sparks, NV, 89441",Nevada,Washoe,Sparks
37.765946,-122.399044,2019-01-15,34.0,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco
37.654456,-122.031547,2019-01-15,33.0,Hayward,3466 LA MESA DR.,California,Alameda,Hayward
37.936013,-122.026154,2019-01-15,32.0,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord
38.654069,-122.901857,2019-01-15,33.0,Healdsburg-Municipal Airport,"MUNICIPAL AIRPORT-200A HEIDELBERG WAY, HEALDSBURG",California,Sonoma,Healdsburg
38.006311,-121.641918,2019-01-15,24.0,Bethel Island,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island
37.687526,-121.784217,2019-01-15,31.0,Livermore,793 Rincon Ave.,California,Alameda,Livermore
38.53445,-121.7734,2019-01-15,28.0,Davis-UCD Campus,"UC DAVIS-CAMPUS, CAMPBELL ROAD WEST OF HIWAY 113 & SOUTH OF HUTCHISON DRIVE.",California,Yolo,Not in a city
38.66121,-121.73269,2019-01-15,30.0,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland
37.97231,-122.520004,2019-01-15,37.0,San Rafael,534 4TH ST.,California,Marin,San Rafael
39.14566,-123.20298,2019-01-15,28.0,Ukiah-Gobbi Street," 306 E. GOBBI STREET, UKIAH, CA",California,Mendocino,Ukiah
38.102507,-122.237976,2019-01-15,28.0,Vallejo,304 TUOLUMNE ST.,California,Solano,Vallejo
38.227066,-122.075624,2019-01-15,29.0,Fairfield,1010 CHADBOURNE RD,California,Solano,Fairfield
37.9604,-122.356811,2019-01-15,33.0,San Pablo,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo
38.35655,-121.94986,2019-01-15,25.0,Vacaville-Ulatis Drive,"2012 ULATIS DRIVE, VACAVILLE",California,Solano,Vacaville
39.53387,-122.190834,2019-01-15,33.0,Willows-Colusa Street,"720 N Colusa Street, Willows",California,Glenn,Not in a city
