Date,Date,Acadia National Park,Arches National Park,Badlands National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Bryce Canyon National Park,Canyonlands National Park,Capitol Reef National Park,Carlsbad Caverns National Park,Channel Islands National Park,Congaree National Park,Cuyahoga Valley National Park,Death Valley National Park,Dry Tortugas National Park,Everglades,Glacier National Park,Grand Canyon National Park,Grand Teton,Great Basin National Park,Great Sand Dunes National Park and Preserve,Great Smoky Mountains National Park,Guadalupe Peak,Haleakalā,Hawaiʻi Volcanoes National Park,Hot Springs National Park,Indiana Dunes National Park,Joshua Tree National Park,Kings Canyon National Park,Lassen Volcanic National Park,Mammoth Cave,Mesa Verde National Park,Mount Rainier National Park,Museum at the Gateway Arch,Olympic National Park,Petrified Forest National Park,Pinnacles National Park,Redwood National and State Parks,Rocky Mountain National Park,Saguaro National Park,Sequoia & Kings Canyon National Parks,Shenandoah National Park,Theodore Roosevelt National Park,Voyageurs National Park,White Sands National Park,Wind Cave National Park,Yosemite National Park,Zion National Park
5,2013,7.0,,,,2.75,,,,,,,2.0,3.0,,,3.016666666666667,,,,,,5.0,,6.0,,,2.0,,,,,,,2.522222222222222,,,,,2.0,3.4586594202898553,,3.0,,,,,,
5,2014,,,,,,,,,,,,,1.969387755102041,,,,,6.0,,,,,,,,,5.0,,,,2.0,,,1.0,,,6.0,,6.5,4.954545454545454,,,,,,4.0,,5.0
5,2015,5.0,,,,2.0,,,5.0,,,,,3.25,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,3.357142857142857,,,,,,,,
5,2016,,,,,,,,,,,,,2.433333333333333,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,3.457142857142857,,,,,,,,
5,2017,,,,,5.0,,,,,,,,3.0,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,6.0,,,4.756924315619967,,,,,,,,
5,2018,,,,,,,,,,,,,2.6363636363636362,,,,,,,,,,,,3.8333333333333335,,,,,,,,,,,,,,4.055555555555556,2.305555555555556,,,,,,,,
6,2013,,,,,1.0,,,,,,,,6.0,,,1.5,,,,,,,,,,,,,,,,,4.0,4.0,,,6.0,,2.0,5.666666666666667,,,,,,,,
6,2014,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,4.0148809523809526,,,,,,,,
6,2015,,4.5,,,,,,,,,5.5,,,,,,,6.541666666666667,4.0,,,,,,,,5.666666666666667,5.5,4.0,,,,,,,,,,,5.85374149659864,4.0,,,,,,,
6,2016,,,,,,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,
6,2017,,,,,,6.0,,,,,,,4.0,,,,,,,,6.0,,,6.0,,,,,,,,,,,,,,,,5.683333333333334,,,,,,,5.0,
6,2018,,6.0,,,,,,6.0,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,7.0,,3.3333333333333335,,3.0,,,,,,,
7,2013,6.5,5.5,,,,,,5.5,,,,1.0,4.666666666666667,,,2.5,5.5,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2014,,,,,,,,,,,,,,,,,4.333333333333333,6.0,4.904761904761905,,,,,,,,,,,,,,,,,,,,,4.15,,,,,,,5.0,
7,2015,,,,6.0,5.0,,,,,3.0,5.0,,,,,5.0,,5.2,4.0,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,
7,2016,4.0,5.0,,,,,,,6.0,,,,,,,2.0,,,,,,,,,,,5.0,6.0,6.0,,,,,6.0,,,,,,5.0,6.0,,,,,,,5.0
7,2017,,,,,,,,,,,,,3.444444444444444,,,,,,,,,,,6.0,,,5.3273809523809526,,,,,,,,,,7.0,,,,,,,,,,,
7,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
8,2013,,7.0,,,,,,7.0,,,,,,,,4.5,5.666666666666667,,,,,,,,,,,,,,,,,3.25,,,,5.5,,5.0,,,,,,,,
8,2014,,,,,,,,,,,,4.0,,,,5.0,4.75,,,,,,,,,,5.0,,,,,,,,,,,,,4.925,,,,,,,6.0,
8,2015,6.0,,,,3.0,,,,,1.0,5.0,,,,,3.0,,,,,,,1.0,,6.0,,,,,,,,,3.5,,,,,,5.5,,6.0,,,,,4.857142857142857,
8,2016,,,,,,,,,,,,,3.925925925925926,,,2.0,,,,,,,,6.0,,,,5.5,,,,,,3.0,,,,,3.75,4.0,,,,,,,,
8,2017,,,5.0,,,,,,,,,,4.0,,,,,,5.0,,,,,,,,5.140422077922078,7.0,,,2.25,,,2.0,,,,,2.0,,3.0,4.0,3.0,,,2.0,,6.166666666666667
8,2018,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
9,2013,,6.0,,,3.0,,,6.0,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,6.0,,,7.0,6.0,5.0,5.333333333333333,,,,,,,,
9,2014,6.083333333333333,,,,,,,,,,5.5,3.0,,,,3.0,,6.0,,,6.0,,,,4.5,,,,,6.0,,,,3.0,,,,,5.0,4.027777777777778,,,,,,,,
9,2015,,5.5,,,4.0,,,5.5,,,5.0,,,,,5.0,,5.25,,6.0,,,,,,,3.0,5.0,,,3.0,,,3.7,,,,,,4.333333333333334,,,6.0,6.0,,,6.0,
9,2016,,,,,4.0,,,,,,,,3.6666666666666665,,,4.0,,,,,,,,,7.0,,,,,,,,,3.3333333333333335,,,,,5.0,3.3235659733220704,,,,,,,,
9,2017,,7.0,,6.090909090909091,,,,7.0,4.833333333333334,,,3.0,3.3333333333333335,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,3.7535597572362276,,,,,,,,,
9,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,3.016666666666667,,,,,,
10,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.436231884057971,,,,,,,,
10,2013,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,5.0,,,,,6.5,,,
10,2014,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.5833333333333335,,,,,,,,
10,2015,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.666666666666667,,,,,,4.90625,,,,,,,,
10,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,
10,2017,,7.0,,,,,4.0,7.0,,,,5.2,3.0,,,,,,,,6.0,6.0,,4.5,,,,,,,,,,,,,,,3.721111111111112,5.0,,,,,,,,5.0
10,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.166666666666667,,4.0,4.0,,,,,,
11,2013,,,,,3.277777777777778,,,,,,,,,,,2.7666666666666666,,,,,,,,,,,,,,,,,,,,,7.0,,,5.5,,,,,,,,
11,2014,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.618181818181818,,3.4,,,,,,5.0
11,2015,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,3.0,,,,,,,4.5,,,,,,5.375,,,,,,,,
11,2017,,7.0,,,6.0,,,7.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,3.2480486685032135,2.5,,,,,,,,6.0
11,2018,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.5,,,,,3.4714285714285715,,,,,,,,,5.0
12,2013,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,
12,2014,,,,,4.833333333333334,,,,,,,,,,,4.833333333333334,,,,,,,,4.5,,,,,,,,,,,,,,,,4.270833333333334,,6.0,,,,,,
12,2015,,,,,3.0,,,,,,3.0,,2.1,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,,
12,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,3.3923449140985213,3.96969696969697,,,,,,,,
12,2018,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.3013947590870667,3.0,,,,,,,,
